gene_a	gene_b	label
26187	3355	1
15819	41521	1
36728	18110	0
9900	25867	1
48617	18830	0
52071	17667	1
10608	48312	0
23683	12316	0
23742	51941	1
3911	24832	0
10350	24695	0
18810	11332	1
24434	52477	1
50760	5648	1
29548	34023	1
25867	48312	1
10525	33595	1
34990	20649	1
15252	32085	0
4778	790	1
42834	1235	1
23211	42197	0
31985	38126	1
50696	38126	1
17020	41140	0
10753	25884	0
24836	10723	1
41103	30383	1
7710	44394	1
18079	38126	1
30137	2794	0
44119	34023	1
37093	30371	0
45958	13091	1
1177	27128	0
42908	42960	1
17161	30825	1
6294	20835	0
36595	21742	0
14347	25161	1
53617	28293	1
19839	12698	0
18933	7962	0
11570	29223	1
28442	28711	0
19786	4736	1
38443	27445	1
315	53128	0
45307	43991	0
49153	50141	0
4556	36960	1
16654	550	1
51488	36589	1
1637	10723	1
33405	18810	1
12930	50383	0
27471	13616	1
48839	16844	1
21742	27351	1
37688	2363	0
9619	22610	0
34023	40916	1
14014	24493	0
15512	16169	0
22307	52139	0
18664	15528	0
53953	29492	1
12242	50366	1
39540	44004	0
19074	11869	0
22145	28951	1
11402	28540	0
53870	14026	1
1775	6818	0
33477	9731	0
31931	12399	0
41521	19998	1
18835	12656	1
1553	44880	0
27877	7394	0
51201	5473	1
20252	750	0
10748	26411	1
40251	12076	0
43470	29320	0
27345	30894	0
4768	32739	1
44030	33416	0
33390	5785	0
29580	14514	0
37587	32063	0
52173	6722	1
19377	30859	0
45958	21905	1
39078	41399	0
50327	23026	0
1159	716	1
21742	29396	0
40608	35068	0
53973	50885	0
26869	16844	1
7308	46154	1
20154	3853	1
42351	1522	0
48700	27959	0
50482	47675	1
52785	49507	0
28131	39295	1
51212	12734	0
38745	6097	0
13836	36688	1
5755	40473	0
4761	37002	1
9794	1736	0
22169	3810	0
35911	48157	0
6826	44771	0
18757	41265	1
33115	34023	1
38126	17256	1
49633	37667	0
45030	27874	0
45494	42370	0
40773	13416	0
3579	15115	0
26228	45988	1
34509	16183	0
16301	21775	1
32873	35068	1
32851	26717	0
37724	23596	0
18835	10002	1
23612	20825	1
34070	45321	1
48408	8243	1
8090	620	0
20693	40900	1
50975	47361	0
33595	34780	1
22436	21229	0
19034	15919	1
36443	37758	1
28478	48729	1
26755	52049	0
22384	49807	0
43617	4676	0
25282	38126	1
41103	6863	1
34102	6556	1
8277	50805	0
47172	24489	0
53409	29930	0
716	16774	1
42050	49164	0
45321	19438	0
16389	15723	0
47356	21836	1
3666	578	0
44520	29615	0
8702	47496	1
4769	19528	0
38461	2645	1
28876	12416	1
46509	29132	1
50975	19237	0
32144	16844	1
11825	43751	1
7683	27350	1
30024	4761	1
14777	37100	1
5744	48315	0
37876	6387	0
2025	32149	0
36610	16654	1
52097	3814	0
22365	47890	0
4541	16688	0
21696	51535	0
41091	30184	0
41739	46207	0
42085	16447	0
22828	26743	1
25169	47527	1
16844	16730	1
15346	36707	1
17454	42840	0
17731	29702	1
3730	50089	1
445	3673	0
25713	39423	0
2084	31767	0
31356	37441	1
36443	13062	1
10723	37306	1
46829	16045	0
46854	19034	1
36408	29352	1
40239	37755	0
31370	11755	0
25175	34023	1
26809	9349	0
39685	50632	0
11730	21185	0
15262	25450	1
24703	35513	0
37084	38861	1
46349	39704	0
50089	37975	0
33719	34527	0
3734	1830	0
25999	9497	0
22425	37842	0
37534	49845	1
8792	3878	0
17523	16250	1
46210	39727	0
40528	4033	0
35602	2123	0
12294	26283	0
50280	51047	1
53807	53953	1
41739	21303	0
4082	29801	0
40283	29924	0
19485	30301	1
41693	18562	0
22684	21030	0
47662	30992	1
50897	33027	1
3637	15662	1
40094	28915	0
47230	12316	0
733	34023	1
44001	16844	1
20596	21588	0
4113	10547	0
52087	52885	1
32200	15946	0
25741	51495	0
40620	40120	0
2940	29447	1
9960	40496	0
10751	26644	1
30825	23230	1
46990	44307	0
45720	33473	1
502	22645	0
5787	16844	1
2562	34023	1
15566	10220	1
15608	26615	0
3073	39194	0
53103	49242	1
29857	52040	0
29884	34368	0
33750	31474	0
52511	46784	1
18559	14032	0
19405	26640	0
30184	44626	0
47938	5427	0
18966	1444	1
35113	38126	1
49794	45958	1
12686	44984	0
9698	33137	0
16844	12342	1
19485	16903	1
48010	15786	0
32905	46830	0
20484	16844	1
3368	47862	1
39909	24574	1
16844	26000	1
12220	34348	0
47513	16844	1
48442	11003	1
43070	34653	0
39736	32301	0
8301	40094	0
9093	7383	1
34023	31294	1
95	4113	1
30825	52022	1
22574	27351	0
43193	34023	1
11547	9613	0
1421	8226	0
31356	22368	1
32149	2025	0
29132	20307	1
53425	30825	1
37441	40340	1
10103	32851	1
33933	5088	0
53131	36342	1
28725	34689	0
23941	11615	0
48040	2389	1
28139	53986	0
3355	21227	1
33089	53953	1
29796	5545	1
34315	7707	1
43637	48777	0
43898	47124	0
49242	53017	1
25387	52109	0
38031	29547	0
46813	50868	1
31290	51594	1
8453	31356	1
14014	15455	1
29627	17527	0
8317	22743	0
53717	8835	1
3878	1482	0
51166	47469	1
23176	38126	1
1827	1201	0
22661	4113	1
12709	15764	0
17467	52345	0
20834	2084	0
16183	28254	1
38126	10727	1
46220	1388	0
41521	35516	1
47513	35712	0
9655	19362	1
8031	49685	0
34023	25108	1
4778	20726	1
21048	18922	0
26093	13062	1
51685	9826	0
27657	47226	0
7683	11800	1
927	18410	0
28478	19710	1
33931	716	1
53879	10551	0
29061	22942	0
35850	46937	1
39355	6998	1
21073	25520	1
5655	26987	1
34164	18933	0
36370	32773	1
25037	52756	1
31325	5438	0
53131	28540	1
22540	39655	0
20068	28478	1
21010	38126	1
48312	34101	1
33177	12503	1
38787	21888	0
15379	38126	1
30873	21345	0
42906	40006	1
15541	25161	0
33626	16324	0
36916	7800	1
2340	37181	0
13456	36665	1
36255	22103	1
29444	45776	0
33539	27719	0
52826	8453	0
7133	41553	0
27881	17129	1
6914	13062	1
17708	31347	1
40340	15767	0
47308	29548	0
34023	23815	1
4961	44001	1
18835	25342	1
53265	25420	1
833	38254	1
4668	46281	0
15662	33931	0
10481	36960	0
49622	26364	0
1553	309	0
43303	3626	1
26282	37820	0
30310	16409	1
17315	34023	1
22478	16844	1
22539	39502	0
12420	33664	0
3892	22645	1
38126	11555	1
12662	37002	1
27322	11818	0
28540	53131	1
35888	35462	1
4778	41566	1
16766	16654	1
28702	5665	0
50394	41838	0
51594	13836	1
42436	750	0
43049	52809	0
41397	9674	0
25632	17344	0
40340	19013	1
30791	12242	1
22475	19010	0
50394	11825	1
30825	53605	1
9667	25069	0
19034	52982	1
46898	34023	1
16838	22738	1
41466	18216	0
11786	13218	1
19464	9848	1
18161	13641	0
36779	35012	0
7914	24402	0
19034	3042	1
32132	9040	0
39043	5466	1
53953	16995	1
758	1482	0
22412	48607	0
38692	47574	1
2026	13981	0
44908	8348	1
30310	9974	1
36435	41993	1
49119	25228	0
27730	38126	1
45243	33388	0
9040	49356	0
16844	22780	1
33378	30825	1
16766	34527	1
33794	15024	0
46410	27604	1
45524	53103	0
35709	3314	0
10739	9251	0
34023	7537	1
21782	16654	1
25257	5689	0
28478	30285	1
35010	46574	0
44970	1195	1
42572	35519	0
16993	50280	1
134	47749	1
50490	20173	0
20454	24363	0
25267	39564	0
11472	28478	1
16844	7294	1
42122	30992	0
38126	35381	1
29546	18835	1
38603	48844	0
16844	27665	1
27767	41476	0
3974	14628	1
26312	23916	0
28697	34023	1
44383	46382	0
40864	31948	0
43595	7085	1
9809	16104	1
7957	13185	0
1637	29949	0
43320	32241	0
41374	33477	1
30357	16844	1
33330	25523	1
43596	50349	0
19839	46670	1
28735	26743	1
29272	25867	1
44195	20176	1
479	14717	0
28153	28177	0
47142	9100	0
50310	25503	0
19193	2501	0
53282	37469	0
17791	53064	0
42227	49516	0
52501	38477	0
29796	10662	1
14026	6914	1
40665	25061	0
10316	49201	1
29305	52663	0
33049	36483	0
14317	4113	1
44794	27182	1
40757	49885	0
10408	45525	1
16491	30830	0
42911	25523	1
36342	45277	1
15470	38126	1
45812	34216	1
47407	27128	0
6937	153	0
9580	3752	0
2049	711	0
43029	28045	0
34023	12757	1
19224	16844	1
26198	24118	1
28045	29855	1
2497	53017	1
51201	45252	1
5749	34023	1
3626	33083	0
20430	28802	0
38126	34872	1
42681	14317	1
16844	19001	1
12214	2389	1
37630	39043	1
53570	51638	1
14933	38901	0
10723	30570	1
24591	1587	1
17963	36707	1
48880	4243	0
49999	27951	1
28478	48315	1
20621	26928	0
4626	20419	0
19818	3706	0
34891	11615	0
24424	14769	0
19054	34023	1
48348	10216	0
18337	51594	1
1040	1145	1
9848	15964	1
36580	17558	1
39043	15364	1
17521	19958	0
16737	33787	0
51079	41818	0
42964	33404	0
36916	46437	1
36832	16672	0
36045	14221	0
15705	38431	0
53762	38343	0
30717	52477	1
1547	41041	0
53953	44422	1
41993	3635	0
8637	38823	0
36486	27344	0
37306	11223	1
33430	15566	1
48123	33460	0
34023	27474	1
19838	2930	0
38582	34043	1
38126	11149	1
51143	62	0
46879	39752	0
23545	20736	0
7076	51101	0
7365	24461	0
45962	37723	0
43763	53925	0
42370	18810	1
37382	51547	0
24272	4223	0
46106	48569	0
4077	44866	0
20450	47302	0
23301	3799	1
33405	36916	1
35330	19328	0
36243	51	1
52516	19130	1
9729	44099	0
47720	30408	1
27345	30825	1
38126	50218	1
3768	32933	1
1324	21570	1
52004	34023	1
6542	33695	0
45958	48442	1
12652	37129	0
50696	18835	1
35644	23690	1
1444	23594	1
48880	2880	1
46639	17426	0
34250	48522	0
22672	52477	1
52919	8453	1
1136	29132	0
54004	23014	1
53639	28478	1
31764	30753	0
49794	25450	1
12961	45548	0
22131	46784	1
4405	36561	0
41521	9770	1
22118	37853	1
26723	31754	0
45515	20688	0
34023	37161	1
28478	27344	1
25867	5006	1
46298	22684	0
11770	12374	1
25267	37361	0
11786	40081	1
33491	26411	1
47496	21364	1
50029	13179	1
19034	8697	1
14905	12603	0
36443	24922	1
5417	10723	1
52439	34023	1
8531	39797	0
26568	38748	0
7750	29547	0
1885	46427	1
28412	30740	0
16389	34030	1
29924	7637	0
53924	37534	1
54008	43345	0
17256	21746	0
38126	40120	1
23262	42388	0
36589	31956	1
5059	44603	0
27632	16095	0
47976	27095	0
5144	8506	0
43566	23802	1
51839	27389	1
39278	9244	0
32992	24971	1
46382	44930	1
40667	3368	0
42370	19786	1
6071	21758	0
38681	49964	0
21048	52669	1
16844	48433	1
12217	22232	1
29447	16041	1
4413	15124	0
50122	9848	1
10243	13834	0
10222	42724	0
40302	39278	0
15824	24480	1
34378	30093	0
27772	30825	1
14256	32670	0
17125	19337	0
34905	17039	0
39694	6197	0
26198	21124	1
18835	790	1
53365	21415	1
41189	40977	0
28478	52469	1
41576	38290	0
5787	15543	0
11003	7297	1
53215	5092	1
16844	15662	1
5719	14317	1
51289	15840	0
27788	27505	0
38126	47329	1
23366	17523	1
53950	2458	0
4354	22926	0
41434	48312	1
28478	37801	1
51651	5202	0
7004	24844	0
12562	25183	0
32486	44091	0
53017	11332	1
12242	41753	1
29840	32200	0
4736	12242	1
26416	5719	1
9794	38126	1
39423	15387	0
38226	38126	1
23053	4716	0
30454	38126	1
2196	47894	0
2049	34852	0
30588	9613	0
26646	34633	0
17125	28478	1
53801	48852	0
12175	44930	1
11328	35489	1
11714	40258	1
44305	34023	1
34023	29832	1
48983	23093	0
34872	34023	1
38336	28478	1
4384	41329	1
16844	33380	1
46830	37290	0
18536	17306	1
10262	13336	0
16102	5627	0
43655	366	0
30385	15682	0
19551	14489	0
38126	51888	1
9628	44831	0
14756	45796	0
17634	16094	1
10723	39634	1
2960	14197	0
25450	7297	1
22119	20407	0
48180	38254	1
44682	10218	1
52000	6227	0
28478	20645	1
38126	144	1
28478	46038	1
8459	14029	0
16301	52477	1
15528	15156	0
10723	19438	1
52044	21845	0
53953	23922	0
43094	17853	0
20922	17523	1
12238	33430	1
27351	21742	1
16896	9439	0
34013	36733	0
31754	26723	0
9613	38200	1
26198	38627	1
45689	16919	0
39634	10723	1
16409	7453	1
50987	2272	0
22118	19377	1
27278	23293	1
26743	4077	1
42883	2585	0
19786	23594	1
33269	23783	0
21742	11358	0
52660	46554	0
42838	18401	0
15415	1026	0
703	3368	1
27403	95	0
34023	43480	1
52459	13822	0
29132	14317	1
47757	10764	1
1112	19793	0
33477	47640	1
11869	32149	0
187	28338	0
13829	53841	0
24325	1958	1
4113	25169	1
29686	1885	0
29623	40690	0
9089	1332	0
53665	44098	0
9580	32525	1
255	48263	0
29329	41091	0
38126	13199	1
39043	23418	1
11506	40387	0
30970	34023	1
39241	37890	1
16144	48709	0
12175	18810	1
43960	18927	0
24450	23742	1
17775	7916	1
11540	38104	1
43514	36916	1
34176	13062	1
18810	10768	1
29011	30924	1
1056	53265	0
19317	51624	0
13251	35630	1
39636	12988	0
34023	25752	1
37983	21111	0
48810	716	1
35323	23197	0
40964	45629	1
20712	40977	0
38126	18466	1
27922	4073	0
41611	9064	1
12215	39470	0
32649	35136	0
51388	16930	0
2511	32860	0
13533	43749	0
6154	46379	1
1082	53479	1
41175	28478	1
48690	37787	0
44930	13416	1
48587	17687	0
3055	11730	1
3271	28137	0
19157	47783	1
7747	43848	1
26093	20488	1
27351	47874	1
41099	4842	0
14375	14550	1
47622	18299	0
48067	15266	0
38321	48180	1
44033	34023	1
9251	41098	0
38126	35355	1
11570	18714	1
28478	8663	1
22148	5509	0
1979	42822	1
57	674	0
19683	36255	0
51839	21641	1
37881	27999	0
39613	48605	0
51434	52517	0
31731	1966	0
42546	16106	0
24677	36737	0
13727	37767	0
52817	7930	0
45217	19913	0
154	36023	0
41055	29382	1
26198	35265	1
14019	52235	0
29702	17873	1
19624	34023	1
15740	52477	1
8039	30805	0
16598	34023	1
50089	43253	0
19179	29270	1
7494	45890	1
12388	30825	1
50054	49788	0
47617	7175	0
19635	3489	0
46154	33027	1
10583	31290	1
40767	34219	0
53949	52378	0
47916	12449	1
53284	20299	0
17637	22454	0
21570	2866	1
38135	49350	0
40739	39621	0
53950	53152	0
24192	35470	1
50823	51594	1
6320	40731	0
29382	30706	1
36403	31742	1
7120	27223	1
39885	25414	0
17365	1966	0
8090	16913	1
7383	45349	0
13259	46368	1
6804	44725	0
41499	905	1
38729	39043	1
5055	48995	0
16901	7245	1
46983	16844	1
38126	16598	1
35149	34023	1
35283	24635	0
27445	31166	1
2418	10741	1
14690	13737	0
17853	43386	0
25258	1444	1
12686	43505	0
21880	48312	1
9064	40541	1
43514	49830	1
27389	35439	1
24779	38725	0
836	22427	0
36381	20577	0
38126	52627	1
18436	28478	1
28102	1177	1
51153	8909	0
34101	48312	1
41080	18920	1
52477	27819	1
8090	12238	1
43034	33115	0
38823	29796	1
17074	36610	0
46513	13475	0
1195	17998	0
49801	16206	0
33681	51531	1
5776	12213	0
48700	23736	0
4351	746	1
12849	5787	0
31873	13062	1
34360	39043	1
52205	32468	1
1324	27815	0
42481	8421	0
11540	53017	1
8476	18610	1
38427	10131	0
35044	53908	1
37466	32349	0
48549	36342	0
11339	53953	1
28308	29352	1
19793	42908	1
51050	13392	0
12294	1099	0
3357	13033	0
19362	16844	1
10751	4778	1
31915	17801	0
14029	20355	0
1444	21742	1
53507	48303	1
37787	47226	0
42350	39043	1
16903	34289	1
27465	334	0
34023	48614	1
15140	38126	1
15287	265	0
13788	43766	0
6863	31383	0
22528	26851	0
52477	13600	1
23594	25450	1
34023	32824	1
30854	6154	1
3883	8322	0
48306	25522	0
9848	35265	1
21746	39294	1
30399	18040	0
32933	26692	1
18295	40619	0
2624	29485	1
53953	42114	1
39043	51345	1
1390	33105	0
39043	44643	1
25777	35289	0
26692	45389	1
28478	38588	1
43265	9749	0
38126	50408	1
25161	14347	1
5832	47174	1
10723	5466	1
32559	12163	0
23424	29949	1
35915	34023	1
4010	39241	1
31281	48437	0
32063	40161	0
18393	18049	1
572	51293	0
19034	8059	1
34023	10276	1
38126	30725	1
38126	35937	1
29555	17182	0
50218	51405	0
52769	40992	0
27990	46877	0
7862	13564	0
20831	20206	0
38200	18107	0
9580	19034	1
9501	21519	0
43568	29160	1
1351	15001	0
48635	39043	1
47662	13804	0
5723	702	0
16122	30825	1
13307	50175	0
37186	23502	0
32185	34023	1
3602	19301	0
39043	11284	1
36916	17365	1
20356	30825	1
38266	14495	1
28254	10748	1
9118	13600	1
22743	32152	0
43392	48566	1
30825	17741	1
4350	35787	0
20631	40375	1
10147	49167	0
34023	8092	1
13104	24777	0
13599	31990	1
3365	34408	0
10220	21227	1
46682	18810	1
33681	30844	1
8733	19552	0
53953	23932	1
49891	33947	0
8304	28504	0
7986	15024	0
17766	30686	0
51805	35208	0
30825	33301	1
6606	48949	0
41374	10680	1
16844	41620	1
17973	3021	0
38352	174	0
27254	52277	0
9350	16167	0
36707	39375	1
41296	9848	1
15964	27351	1
51022	9954	0
18276	15517	0
39043	48044	1
46763	3465	0
33652	30825	1
49891	5256	0
13062	8122	1
21415	37290	0
33449	6936	0
1793	28478	1
24734	15543	1
1302	15785	0
9762	20764	0
26743	40540	1
8033	19939	0
38126	44055	1
50637	53953	1
33645	34023	1
20012	25342	0
46912	45525	0
3355	36350	1
3368	13268	1
18299	42915	1
43144	50669	0
45720	7245	1
44970	33595	1
31409	41036	0
34320	38645	1
13738	22268	0
16166	16901	0
35504	49009	0
15929	8835	0
24733	49879	1
20385	34023	1
38885	12242	1
30791	24406	0
42510	43550	0
11800	34023	1
24050	27804	0
33491	41869	0
29587	36707	1
21069	45958	1
33076	8606	1
21836	23537	0
38692	25270	1
7131	16844	1
41674	36370	0
22977	22438	1
230	39771	0
15500	26386	0
6984	52022	0
16844	45921	1
50760	26176	1
39016	41956	0
44452	8900	0
12288	32967	1
24635	8243	1
34315	7096	0
43792	31121	0
20980	10008	0
52753	16654	1
716	37890	1
18375	47662	1
15978	20000	0
47309	14225	0
51610	7637	1
53503	36994	1
6139	32520	0
14866	51018	0
34023	3765	1
21775	26282	1
746	50154	1
51014	30825	1
34351	45644	0
51172	52477	1
20042	42985	0
16695	49128	0
21775	22	1
52885	53103	0
41103	2049	1
16844	21696	1
30825	36666	0
37667	15623	0
18733	44297	0
43751	7617	1
41036	31409	0
50926	13954	1
808	50152	0
16844	49028	1
38126	24703	1
19259	942	1
47308	558	0
25978	35437	1
16844	29107	1
47469	35144	1
51300	1303	0
52455	39624	0
10748	31290	1
39374	10965	0
44586	43729	0
27351	46437	1
12242	18201	1
28124	34928	1
44263	27911	0
24489	25717	0
51669	10800	0
36443	16654	1
38461	3104	0
35985	36689	1
53097	1775	0
27231	50853	0
16596	26411	0
18966	19786	1
32628	51050	0
33626	13121	0
52537	26692	1
38610	18978	1
3322	9225	0
13068	37846	0
46219	40895	0
34023	27853	1
39355	51594	1
15126	48375	0
11239	15040	0
2624	5719	1
38105	8587	0
9244	51883	0
34458	16844	1
1444	19797	0
2664	16060	0
42872	19408	0
843	1156	1
38126	4380	1
4875	36580	1
27959	28478	0
37797	30407	0
51300	52913	1
42942	8458	0
36994	18830	0
34102	3355	1
19782	4048	1
29586	5099	0
6166	8764	1
47686	36916	1
22574	43085	0
48899	38126	1
38126	2897	1
50417	18207	0
28189	39043	1
13705	12242	1
6937	14275	0
48980	13504	0
39887	45912	0
38195	2604	0
8090	8122	1
6939	14149	0
28478	5276	1
16840	42188	0
19855	31956	1
7259	23274	0
26176	47610	1
23541	4113	1
716	29314	1
41054	16844	1
13336	10262	0
28411	29550	0
46	17365	1
16844	46605	1
10021	34852	0
50760	19494	1
49340	30825	1
24382	34023	1
53284	34137	0
26035	44099	1
3814	19362	1
39020	16776	0
17840	17667	0
49466	5353	0
10219	46538	1
32436	42758	0
1334	4691	0
17598	25614	1
44970	46424	1
8792	52801	0
51202	43550	0
15966	52317	0
17546	44184	0
37100	6241	0
716	34176	1
31111	4113	1
17182	4082	1
35144	50154	1
716	32281	1
19899	45446	0
15824	261	1
26799	38130	0
31747	52139	1
38126	28445	1
12242	24434	1
46960	17365	1
19377	5719	1
38627	52477	1
27119	7123	1
4036	47836	0
8612	43956	1
19034	31706	1
30462	18835	1
23545	29270	1
13834	33931	0
18835	50218	1
51335	50868	1
7394	19396	0
32613	19034	1
31798	28555	1
20693	27819	1
39418	3021	0
10038	43190	0
16844	39885	1
5015	529	0
31413	34023	1
9598	8984	1
52186	52305	0
8181	18843	1
43903	53152	1
3799	23301	1
625	53997	0
26928	42985	0
18153	18410	0
47928	32854	0
3653	34222	0
14550	53442	1
6938	22577	0
53960	38329	0
18429	10748	1
12416	39043	1
10483	49751	0
49732	24568	0
20991	19017	0
26494	19846	0
17365	50	1
33622	41189	0
39278	14077	1
31398	32863	0
47188	16654	1
10728	24325	1
16844	53524	1
21131	30027	0
24050	52086	1
10195	45389	0
29774	945	0
37042	4113	1
28177	14923	1
52556	10723	1
38566	11170	0
53846	32332	0
15619	41993	1
5294	36720	0
28478	13391	1
18949	51323	0
1029	53870	1
43622	24971	1
51210	17838	1
12961	52477	1
18444	16641	0
39909	13244	0
11003	24118	1
31370	11043	0
30614	11128	0
15822	20526	0
49313	11169	0
953	3984	0
15065	23693	0
45515	42577	0
36434	44709	0
15572	15767	0
10131	47907	0
49830	1153	1
32437	47809	0
41693	22195	0
19034	38857	0
42988	52638	0
47642	14163	0
22611	15579	0
2282	41905	0
11328	41620	0
26539	25450	1
11611	13844	0
10723	41990	1
31990	47617	1
45958	45073	1
35134	21303	0
29813	29693	0
1815	22921	0
17523	24850	1
44698	44620	0
10481	33811	0
34368	31637	0
10741	52845	0
48312	48180	1
46764	49176	0
12562	44765	1
21048	13247	0
47082	1444	1
45599	30825	1
38692	18835	1
23173	51758	1
6592	46551	0
14495	22509	1
25022	36605	0
16903	41434	1
20688	41566	0
1177	9848	1
34318	42265	1
45573	30482	0
33014	23409	0
44970	36443	1
41753	19786	1
17315	48540	0
50868	35787	1
34023	32328	1
36398	17599	0
14026	46813	1
18341	2263	1
43956	48700	0
42547	41890	0
44669	45252	1
50089	16614	1
27123	16844	1
29796	35985	1
1156	46379	1
40340	36988	1
42908	10525	1
11657	52633	1
39431	4189	0
40900	45958	1
53251	28478	1
17896	17464	0
1029	21187	1
36530	2626	0
34801	28345	0
12503	22079	0
44763	3168	1
2546	8833	0
5504	3666	0
48408	26198	1
15221	30992	0
44620	37411	0
34294	14439	0
32380	30924	0
16844	51187	1
20350	39043	1
46784	15611	1
47928	25074	0
36501	19034	1
40099	14677	0
396	8248	1
14864	8673	0
1275	31562	0
50394	4961	1
15455	28102	1
53192	16654	1
34023	25309	1
16336	52982	1
49830	48442	1
47484	46487	0
20224	9655	1
19377	17873	1
16844	10111	1
53953	37688	1
10547	18810	1
40006	10680	1
10272	19267	0
38126	28254	1
38461	25728	1
31492	11794	0
7893	35490	0
19995	46405	0
32863	15438	1
38645	16844	1
10959	2992	0
7673	3232	0
49348	19410	0
33477	12772	1
34023	50391	1
42985	44930	1
31531	20645	0
13530	25585	0
24119	18049	1
14018	5593	0
29784	16844	1
26692	16405	1
35410	18835	1
45525	18536	1
28494	13062	1
8705	32873	1
34023	37390	1
37669	48875	0
48810	6453	0
47757	52452	1
44975	13950	0
28269	38343	0
5473	30513	0
42114	35002	1
8033	48623	1
30753	53924	1
19034	15132	1
47686	8243	1
36872	37265	0
49110	53116	0
40251	24649	0
27389	14550	1
40362	38354	0
30825	52845	1
51885	35208	0
28053	46019	0
23578	29396	0
2594	26356	0
23335	9619	0
19034	20009	1
52469	10723	1
18830	32836	0
50198	32613	0
42541	47129	1
39043	16854	1
17425	27161	0
15804	28308	0
34230	38885	0
28846	5644	0
27990	45629	0
29517	42644	0
14928	19141	0
20742	46256	1
11114	15433	0
31121	8164	1
16596	25995	0
47469	10553	1
53017	1388	1
51522	39453	1
51125	36796	0
45022	9774	0
28941	19171	0
25867	13456	1
37723	15938	1
15824	6914	1
27877	34179	0
53953	6297	1
20307	36916	1
41862	25964	0
28308	49201	1
49658	31754	0
6846	35985	1
33477	13088	1
20431	9601	0
35456	4160	0
4478	31991	0
44624	45124	0
7953	18960	0
2624	35985	1
49483	52619	0
1403	53447	0
24677	18303	0
18835	2337	1
35850	6542	1
41677	45872	0
8437	13353	1
20898	27066	0
20509	52962	0
16723	44975	0
53152	43903	1
18035	16844	1
10481	49340	0
30577	16696	0
53211	41628	0
31075	6356	0
716	45660	1
